NomeCientifico;NomeComum;Familia;FatorForma;Regiao;Area de Ocorrencia;Descricao-Area de Ocorrencia
A identificar;Desconhecida;Desconhecida;0,5;Todas;;
Pouteria torta;Abiu;Sapotaceae;0,5;Cerrado;;
Pouteria torta;Abiu Do Cerrado;Sapotaceae;0,5;Cerrado;;
Luehea paniculata;Açoita Cavalo;Malvaceae;0,5;Cerrado;;
Vatairea macrocarpa;Amargoso;Leguminosae-Papilionoideae;0,5;Cerrado;;
Pterogyne nitens;Amendoim Bravo;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Acosmium subelegans;Amendoim Falso;Leguminosae-Papilionoideae;0,5;Cerrado;;
Protium heptaphyllum;Amescla;Burseraceae;0,5;Cerrado;;
Andira anthelmia;Angelim;Leguminosae-Papilionoideae;0,5;Cerrado;;
Andira anthelmia;Angelim De Morcego;Leguminosae-Papilionoideae;0,5;Cerrado;;
Anadenanthera peregrina;Angico;Leguminosae-Mimosoideae;0,5;Cerrado;;
Anadenanthera columbrina;Angico Branco;Leguminosae-Mimosoideae;0,5;Cerrado;;
Anadenanthera falcata;Angico Do Cerrado;Leguminosae-Mimosoideae;0,5;Cerrado;;
Acacia polyphylla;Angico Preto;Leguminosae-Mimosoideae;0,5;Cerrado;;
Anadenanthera macrocarpa;Angico Vermelho;Leguminosae-Mimosoideae;0,5;Cerrado;;
Psidium firmum;Araçá;Myrtaceae;0,5;Cerrado;;
Annona coriacea;Araticum;Annonaceae;0,5;Cerrado;;
Annona crassiflora;Araticum Cortiça;Annonaceae;0,5;Cerrado;;
Annona crassiflora;Araticum Do Cerrado;Annonaceae;0,5;Cerrado;;
Annona coriacea;Araticum Do Mato;Annonaceae;0,5;Cerrado;;
Astronium urundeuva;Aroeira;Anacardiaceae;0,5;Cerrado;;
Lithraea molleoides;Aroeirinha;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Annona cornifolia;Ata;Annonaceae;0,5;Cerrado;;
Acrocomia aculeata;Bacaiuva;Arecaceae;0,5;Cerrado;;
Diptychandra aurantiaca;Balsaminho;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Diptychandra aurantiaca;Balsimi;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Stryphnodendron adstringens;Barbatimão;Leguminosae-Mimosoideae;0,5;Cerrado;;
Prosopis rubriflora;Barreiro Preto;Leguminosae-Mimosoideae;0,5;Cerrado;;
Dipteryx alata;Baru;Leguminosae-Papilionoideae;0,5;Cerrado;;
Eriotheca gracilipes;Bingueiro;Malvaceae;0,5;Cerrado;;
Casearia sylvestris;Bugreiro;Salicaceae;0,5;Cerrado;;
Mauritia flexuosa;Buriti;Arecaceae;0,5;Cerrado;;
Rhamnidium elaeocarpus;Cabrito;Rhamnaceae;0,5;Cerrado;;
Casearia sylvestris;Cafezinho Do Mato;Salicaceae;0,5;Cerrado;;
Spondias macrocarpa;Caja;Anacardiaceae;0,5;Cerrado;;
Anacardium humile;Cajuzinho Do Cerrado;Anacardiaceae;0,5;Cerrado;;
Aloysia virgata;Camará;Verbenaceae;0,5;Cerrado;;
Aloysia virgata;Camará De Lixa;Verbenaceae;0,5;Cerrado;;
Vochysia divergens;Cambara;Vochysiaceae;0,5;Cerrado;;
Vochysia haenkeana;Cambara Amarelo;Vochysiaceae;0,5;Cerrado;;
Cupania vernalis;Camboata;Sapindaceae;0,5;Cerrado;;
Piptocarpha rotundifolia;Candeia;Asteraceae;0,5;Cerrado;;
Helietta apiculata;Canela De Veado;Rutaceae;0,5;Cerrado;;
Miconia albicans;Canela De Velho;Melastomataceae;0,5;Cerrado;;
Nectandra cissiflora;Canela Grande;Lauraceae;0,5;Cerrado;;
Ocotea corymbosa;Canela Merda;Lauraceae;0,5;Cerrado;;
Ocotea corymbosa;Canela Preta;Lauraceae;0,5;Cerrado;;
Peltophorum dubium;Canfistula;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Byrsonima orbignyana;Canjiquinha;Malpighiaceae;0,5;Cerrado;;
Terminalia argentia;Capitão;Combretaceae;0,5;Cerrado;;
Terminalia brasiliensis;Capitãozinho;Combretaceae;0,5;Cerrado;;
Diospyros hispida;Caqui Do Mato;Ebenaceae;0,5;Cerrado;;
Copernicia prunifera;Caranda;Arecaceae;0,5;Cerrado;;
Roupala montana;Carne De Vaca;Proteaceae;0,5;Cerrado;;
Jacaranda brasiliana;Caroba;Bignoniaceae;0,5;Cerrado;;
Callisthene fasciculata;Carvão;Vochysiaceae;0,5;Cerrado;;
Diptychandra aurantiaca;Carvão Vermelho;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Sclerolobium paniculatum;Carvoeiro;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Calycophyllum multiflorum;Castelo;Rubiaceae;0,5;Cerrado;;
Trichilia hirta;Catigua;Meliaceae;0,5;Cerrado;;
Dalbergia miscolobium;Caviuna;Leguminosae-Papilionoideae;0,5;Cerrado;;
Machaerium hirtum;Cebolão;Leguminosae-Papilionoideae;0,5;Cerrado;;
Amburana cearensis;Cerejeira/Amburana;Leguminosae-Papilionoideae;0,5;Cerrado;;
Sterculia apetala;Chicha;Sterculiaceae;0,5;Cerrado;;
Hirtella ciliata;Chorão;Chrysobalanaceae;0,5;Cerrado;;
Piptocarpha rotundifolia;Cinzeiro;Asteraceae;0,5;Cerrado;;
Cipo;Cipó;Cipo;0,5;Cerrado;;
Salvertia convallariaeodora;Colher De Vaqueiro;Vochysiaceae;0,5;Cerrado;;
Rollinia sylvatica;Conde Do Mato;Annonaceae;0,5;Cerrado;;
Copaifera langsdorffii;Copaíba;Leguminosae-Papilionoideae;0,5;Cerrado;;
Mouriri elliptica;Coroa;Memecylaceae;0,5;Cerrado;;
Mouriri elliptica;Croada;Memecylaceae;0,5;Cerrado;;
Dipteryx alata;Cumbaru;Leguminosae-Papilionoideae;0,5;Cerrado;;
Lafoensia pacari;Dedaleiro;Lythraceae;0,5;Cerrado;;
Lafoensia pacari;Didal;Lythraceae;0,5;Cerrado;;
Cecropia pachystachya;Embauba;Urticaceae;0,5;Cerrado;;
Bocageopsis mattogrossensis;Embira;Annonaceae;0,5;Cerrado;;
Casearia gossypiosperma;Espeteiro;Salicaceae;0,5;Cerrado;;
Eucalyptus sp;Eucalipto;Myrtaceae;0,5;Cerrado;;
Coccoloba mollis;Falso Novateiro;Polygonaceae;0,5;Cerrado;;
Dimorphandra mollis;Faveiro;Leguminosae-Mimosoideae;0,5;Cerrado;;
Ficus guaranitica;Figueira;Moraceae;0,5;Cerrado;;
Triplaris brasiliana;Formigueiro;Polygonaceae;0,5;Cerrado;;
Couepia grandiflora;Fruta De Ema;Chrysobalanaceae;0,5;Cerrado;;
Simarouba versicolor;Fruta De Perdiz;Simaroubaceae;0,5;Cerrado;;
Pouteria ramiflora;Fruta De Veado;Sapotaceae;0,5;Cerrado;;
Apuleia leiocarpa;Garapa;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Acosmium subelegans;Genciana;Leguminosae-Papilionoideae;0,5;Cerrado;;
Genipa americana;Genipapo;Rubiaceae;0,5;Cerrado;;
Astronium fraxinifolium;Gonçalo;Anacardiaceae;0,5;Cerrado;;
Brachiaria humidicola;Gra Agulha;Graminea;0,5;Cerrado;;
Baccharis dracunculifolia;Gra Alecrim;Graminea;0,5;Cerrado;;
Digitaria insularis;Gra Amargoso;Graminea;0,5;Cerrado;;
Andropogon bicornis;Gra Braquiarão;Graminea;0,5;Cerrado;;
Brachiaria brizantha;Gra Braquiaria;Graminea;0,5;Cerrado;;
Senna obtusifolia;Gra Capim 1;Graminea;0,5;Cerrado;;
Andropogon fastigiatus Sw;Gra Capim-Andropogom;Graminea;0,5;Cerrado;;
Saccharum asperum (Nees) Steud.;Gra Capim-Macega-Estaladeira-Branca;Graminea;0,5;Cerrado;;
Andropogon leocostachus Kunt;Gra Capim-Membeca;Graminea;0,5;Cerrado;;
Cenchrus echinatus;Gra Carrapixo;Graminea;0,5;Cerrado;;
Sporobolus indicus;Gra Cerdinha;Graminea;0,5;Cerrado;;
Cenchrus polystachios;Gra Espiga;Graminea;0,5;Cerrado;;
Solanum palinacanthum;Gra Espinho;Graminea;0,5;Cerrado;;
Eragrostis neesii;Gra Flecha;Graminea;0,5;Cerrado;;
Sida sp.;Gra Ganchuma;Graminea;0,5;Cerrado;;
Paspalum notatum;Gra Grama;Graminea;0,5;Cerrado;;
Stylosantes capitata;Gra Grama Flor;Graminea;0,5;Cerrado;;
Paspalum oteroi Swallen;Gra Grama-Tio-Pedro;Graminea;0,5;Cerrado;;
Mimosa sp.;Gra Malicia;Graminea;0,5;Cerrado;;
Gymnopogon foliosus;Gra Pé De Galinha;Graminea;0,5;Cerrado;;
Bidens pilosa;Gra Picão;Graminea;0,5;Cerrado;;
Fimbristylis autumnalis;Gra Salomão;Graminea;0,5;Cerrado;;
Cyperus odoratus;Gra Tiririca;Graminea;0,5;Cerrado;;
Aristida adscensionis;Gra Vassourinha;Graminea;0,5;Cerrado;;
Patagonula americana;Guajuvira;Boraginaceae;0,5;Cerrado;;
Myrcia rostrata;Guamirim Da Folha Miúda;Myrtaceae;0,5;Cerrado;;
Calophyllum brasiliensis;Guanandi;Clusiaceae;0,5;Cerrado;;
Aspidosperma subincanum;Guatambu;Apocynaceae;0,5;Cerrado;;
Aspidosperma macrocarpon;Guatambu Branco;Apocynaceae;0,5;Cerrado;;
Aspidosperma macrocarpon;Guatambu Do Cerrado;Apocynaceae;0,5;Cerrado;;
Campomanesia adamantium;Guavira;Myrtaceae;0,5;Cerrado;;
Inga edulis;Inga;Leguminosae-Mimosoideae;0,5;Cerrado;;
Inga edulis;Inga Amarelo;Leguminosae-Mimosoideae;0,5;Cerrado;;
Inga laurina;Inga Branco;Leguminosae-Mimosoideae;0,5;Cerrado;;
Samanea tubulosa;Inga Seco;Leguminosae-Mimosoideae;0,5;Cerrado;;
Inga sessilis;Inga Vermelho;Leguminosae-Mimosoideae;0,5;Cerrado;;
Tabebuia ochracea;Ipê Amarelo;Bignoniaceae;0,5;Cerrado;;
Tabebuia roseo-alba;Ipê Branco;Bignoniaceae;0,5;Cerrado;;
Tabebuia ochracea;Ipê Do Cerrado;Bignoniaceae;0,5;Cerrado;;
Artocarpus heterophyllus;Jaca;Moraceae;0,5;Cerrado;;
Machaerium acustifolium;Jacaranda;Leguminosae-Papilionoideae;0,5;Cerrado;;
Machaerium acustifolium;Jacaranda Bico De Pato;Leguminosae-Papilionoideae;0,5;Cerrado;;
Machaerium acustifolium;Jacaranda Do Campo;Leguminosae-Papilionoideae;0,5;Cerrado;;
Hymenaea stigonocarpa;Jatobá;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Hymenaea stigonocarpa;Jatobá Do Cerrado;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Cariniana estrellensis;Jequitiba;Lecythidaceae;0,5;Cerrado;;
Piptocarpha rotundifolia;Laranjinha;Asteraceae;0,5;Cerrado;;
Sapium glandulosum;Leiteiro;Euphorbiaceae;0,5;Cerrado;;
Salvertia convallariaeodora;Liana;Vochysiaceae;0,5;Cerrado;;
Curatella americana;Lixeira;Dilleniaceae;0,5;Cerrado;;
Curatella americana;Lixeirinha;Dilleniaceae;0,5;Cerrado;;
Solanum lycocarpum;Lobeira;Solanaceae;0,5;Cerrado;;
Cordia sellowiana;Loro;Boraginaceae;0,5;Cerrado;;
Cordia trichotoma;Loro Preto;Boraginaceae;0,5;Cerrado;;
Vatairea macrocarpa;Mata Leitoso;Leguminosae-Papilionoideae;0,5;Cerrado;;
Brosimum gaudichaudii;Mama Cadela;Moraceae;0,5;Cerrado;;
Zanthoxylum hasslerianum;Mamica;Rutaceae;0,5;Cerrado;;
Didymopanax morototoni;Mandiocão;Araliaceae;0,5;Cerrado;;
Austroplenckia populnea;Mangaba;Celastraceae;0,5;Cerrado;;
Austroplenckia populnea;Mangabeira Brava;Celastraceae;0,5;Cerrado;;
Dilodendron bipinnatum;Maria Pobre;Sapindaceae;0,5;Cerrado;;
Mimosa bimucronata;Maricá;Leguminosae-Mimosoideae;0,5;Cerrado;;
Guarea guidonia;Marinheiro;Meliaceae;0,5;Cerrado;;
Alibertia edulis;Marmeleiro;Rubiaceae;0,5;Cerrado;;
Licania humilis;Marmelinho Do Cerrado;Chrysobalanaceae;0,5;Cerrado;;
Alibertia edulis;Marmelo;Rubiaceae;0,5;Cerrado;;
Alibertia edulis;Marmelo De Cavalo;Rubiaceae;0,5;Cerrado;;
Annona coriacea;Marolo;Annonaceae;0,5;Cerrado;;
Simarouba versicolor;Mata Cachorro;Simaroubaceae;0,5;Cerrado;;
Miconia cuspidata;Miconia;Melastomataceae;0,5;Cerrado;;
Salvertia convallariaeodora;Moliana;Vochysiaceae;0,5;Cerrado;;
Andira anthelmia;Morcegueiro;Leguminosae-Papilionoideae;0,5;Cerrado;;
Maclura tinctoria;Moreira;Moraceae;0,5;Cerrado;;
Morta - N o identificada;Morta - Não Identificada;Morta - N o identificada;0,5;Cerrado;;
Byrsonima basiloba;Murici;Malpighiaceae;0,5;Cerrado;;
Byrsonima coccolobifolia;Murici Do Cerrado;Malpighiaceae;0,5;Cerrado;;
Diospyros burchellii;Muricizão;Ebenaceae;0,5;Cerrado;;
Byrsonima basiloba;Muricizeiro;Malpighiaceae;0,5;Cerrado;;
Guazuma ulmifolia;Mutambo;Malvaceae;0,5;Cerrado;;
Siparuna guianesis;Negamina;Siparunaceae;0,5;Cerrado;;
Heteropterys tomentosa;Nó De Cachorro;Malpighiaceae;0,5;Cerrado;;
Ormosia arborea;Olho De Cabra;Leguminosae-Papilionoideae;0,5;Cerrado;;
Cnidoscolus vitifolius;Ortiga;Euphorbiaceae;0,5;Cerrado;;
Pseudobombax grandiflorum;Paineira;Malvaceae;0,5;Cerrado;;
Tabebuia caraiba;Paratudo;Bignoniaceae;0,5;Cerrado;;
Bauhinia forficata;Pata De Vaca;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Sclerolobium aureum;Pau Bosta;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Emmotum nitens;Pau De Sobre;Icacinaceae;0,5;Cerrado;;
Vochysia cinnamomea;Pau Doce;Vochysiaceae;0,5;Cerrado;;
Agonandra brasiliensis;Pau Marfim;Opiliaceae;0,5;Cerrado;;
Copaifera langsdorffii;Pau Oleo;Leguminosae-Caesalpinoideae;0,5;Cerrado;;
Tabebuia caraiba;Pau Paratudo;Bignoniaceae;0,5;Cerrado;;
Kielmeyera variabilis;Pau Santo;Clusiaceae;0,5;Cerrado;;
Qualea grandiflora;Pau Terra;Vochysiaceae;0,5;Cerrado;;
Qualea grandiflora;Pau Terra Comum;Vochysiaceae;0,5;Cerrado;;
Qualea dichotoma;Pau Terra Da Mata;Vochysiaceae;0,5;Cerrado;;
Qualea multiflora;Pau Terra Liso;Vochysiaceae;0,5;Cerrado;;
Qualea parviflora;Pau Terra Mirim;Vochysiaceae;0,5;Cerrado;;
Qualea parviflora;Pau Terrinha;Vochysiaceae;0,5;Cerrado;;
Priogymnanthus hasslerianus;Pau Vidro;Oleaceae;0,5;Cerrado;;
Tapirira guianensis;Peito De Pombo;Anacardiaceae;0,5;Cerrado;;
Apeiba tibourbou;Pente De Macaco;Malvaceae;0,5;Cerrado;;
Caryocar brasiliense;Pequi;Caryocaraceae;0,5;Cerrado;;
Simarouba versicolor;Perdiz;Simaroubaceae;0,5;Cerrado;;
Aspidosperma cylindrocarpon;Peroba Rosa;Apocynaceae;0,5;Cerrado;;
Xylopia aromatica;Pimenta De Macaco;Annonaceae;0,5;Cerrado;;
